,nominstallation,codeeicresourceobject,codeiris,commune,epci,departement,region,dateraccordement,datemiseenservice,datedebutversion,postesource,tensionraccordement,moderaccordement,filiere,combustible,combustiblessecondaires,technologie,typestockage,puismaxinstallee,puismaxraccharge,puismaxcharge,puismaxrac,puismaxinstalleedischarge,nbgroupes,regime,energiestockable,capacitereservoir,productible,debitmaximal,gestionnaire,hauteurchute
70,Confidentiel,17W000001334169R,2A0400000,Bocognano,CC Celavu-Prunelli,Corse-du-Sud,Corse,30/10/1997,30/10/1997,14/04/2022,,HTA,Direct,Hydraulique,,,,,2100.0,,,,,,En service,,,,,EDF-SEI,
87,Confidentiel,17W000000034544J,2A0660000,Cargiaca,CC de l'Alta Rocca,Corse-du-Sud,Corse,01/04/2003,01/04/2003,14/04/2022,,HTA,Direct,Hydraulique,,,,,3569.0,,,,,,En service,,,,,EDF-SEI,
93,Confidentiel,17W000000434008F,2A0990000,Cozzano,CC de la Pieve de l'Ornano et du Taravo,Corse-du-Sud,Corse,06/10/2017,06/10/2017,14/04/2022,,BT,Direct,Hydraulique,,,,,53.0,,,,,,En service,,,,,EDF-SEI,
94,Confidentiel,17W000001374036M,2A0990000,Cozzano,CC de la Pieve de l'Ornano et du Taravo,Corse-du-Sud,Corse,03/02/2022,03/02/2022,03/02/2022,,HTA,Direct,Hydraulique,,,,,494.0,,,,,,En service,,,,,EDF-SEI,
109,Confidentiel,17W0000000371945,2A1280000,Granace,CC du Sartenais Valinco Taravo,Corse-du-Sud,Corse,23/02/2002,23/02/2002,29/07/2022,,HTA,Direct,Hydraulique,,,,,730.0,,,,,,En service,,,,,EDF-SEI,
120,Confidentiel,17W000000039103O,2A1810000,Ocana,CC Celavu-Prunelli,Corse-du-Sud,Corse,01/01/1961,01/01/1961,29/07/2022,,90 kV,Direct,Hydraulique,,,,,15600.0,,,,,,En service,,,,,EDF-SEI,
121,Confidentiel,17W000000034089H,2A1810000,Ocana,CC Celavu-Prunelli,Corse-du-Sud,Corse,01/01/1995,01/01/1995,14/04/2022,,HTA,Direct,Hydraulique,,,,,8600.0,,,,,,En service,,,,,EDF-SEI,
122,Confidentiel,17W000000033459F,2A1810000,Ocana,CC Celavu-Prunelli,Corse-du-Sud,Corse,12/09/2016,12/09/2016,29/07/2022,,HTA,Direct,Hydraulique,,,,,144.0,,,,,,En service,,,,,EDF-SEI,
124,Confidentiel,17W0000000393264,2A1810000,Ocana,CC Celavu-Prunelli,Corse-du-Sud,Corse,01/01/1965,01/01/1965,14/04/2022,,90 kV,Direct,Hydraulique,,,,,15100.0,,,,,,En service,,,,,EDF-SEI,
125,Confidentiel,17W000000035911D,2A1860000,Olivese,CC de la Pieve de l'Ornano et du Taravo,Corse-du-Sud,Corse,09/12/2005,09/12/2005,14/04/2022,,HTA,Direct,Hydraulique,,,,,1400.0,,,,,,En service,,,,,EDF-SEI,
126,Confidentiel,17W0000000384257,2A1860000,Olivese,CC de la Pieve de l'Ornano et du Taravo,Corse-du-Sud,Corse,01/04/2010,01/04/2010,29/07/2022,,HTA,Direct,Hydraulique,,,,,400.0,,,,,,En service,,,,,EDF-SEI,
128,Confidentiel,17W000000032772G,2A1910000,Olmiccia,CC de l'Alta Rocca,Corse-du-Sud,Corse,30/09/2013,30/09/2013,29/07/2022,,90 kV,Direct,Hydraulique,,,,,55000.0,,,,,,En service,,,,,EDF-SEI,
129,Confidentiel,17W0000000334977,2A1960000,Orto,CC Spelunca-Liamone,Corse-du-Sud,Corse,01/02/1987,01/02/1987,29/07/2022,,HTA,Direct,Hydraulique,,,,,800.0,,,,,,En service,,,,,EDF-SEI,
130,Confidentiel,17W0000000379032,2A1960000,Orto,CC Spelunca-Liamone,Corse-du-Sud,Corse,01/12/2013,01/12/2013,29/07/2022,,HTA,Direct,Hydraulique,,,,,1000.0,,,,,,En service,,,,,EDF-SEI,
156,Confidentiel,17W000000039320G,2A2540000,Quenza,CC de l'Alta Rocca,Corse-du-Sud,Corse,01/01/1994,01/01/1994,14/04/2022,,HTA,Direct,Hydraulique,,,,,740.0,,,,,,En service,,,,,EDF-SEI,
161,Confidentiel,17W000000037599G,2A2850000,Sorbollano,CC de l'Alta Rocca,Corse-du-Sud,Corse,18/04/2014,18/04/2014,28/04/2022,,BT,Direct,Hydraulique,,,,,120.0,,,,,,En service,,,,,EDF-SEI,
164,Confidentiel,17W0000000333989,2A3590000,Zicavo,CC de la Pieve de l'Ornano et du Taravo,Corse-du-Sud,Corse,01/04/2011,01/04/2011,14/04/2022,,HTA,Direct,Hydraulique,,,,,3400.0,,,,,,En service,,,,,EDF-SEI,
173,Confidentiel,17W000000039199M,2B0230000,Asco,CC Pasquale Paoli,Haute-Corse,Corse,01/02/1990,01/02/1990,14/04/2022,,HTA,Direct,Hydraulique,,,,,5410.0,,,,,,En service,,,,,EDF-SEI,
215,Confidentiel,17W000000031910Z,2B0420101,Borgo,CC de Marana-Golo,Haute-Corse,Corse,30/03/2015,30/03/2015,29/07/2022,,HTA,Direct,Hydraulique,,,,,2450.0,,,,,,En service,,,,,EDF-SEI,
251,Confidentiel,17W000000032186T,2B0420101,Borgo,CC de Marana-Golo,Haute-Corse,Corse,01/01/1984,01/01/1984,29/07/2022,,HTA,Direct,Hydraulique,,,,,1250.0,,,,,,En service,,,,,EDF-SEI,
268,Confidentiel,17W000001331549W,2B0590000,Canavaggia,CC Pasquale Paoli,Haute-Corse,Corse,16/12/2019,16/12/2019,29/07/2022,,HTA,Direct,Hydraulique,,,,,499.0,,,,,,En service,,,,,EDF-SEI,
284,Confidentiel,17W0000000322177,2B0830000,Castirla,CC Pasquale Paoli,Haute-Corse,Corse,01/01/1968,01/01/1968,28/04/2022,,90 kV,Direct,Hydraulique,,,,,28500.0,,,,,,En service,,,,,EDF-SEI,
381,Confidentiel,17W000000032312D,2B1470000,Lozzi,CC Pasquale Paoli,Haute-Corse,Corse,01/01/1985,01/01/1985,29/07/2022,,90 kV,Direct,Hydraulique,,,,,15300.0,,,,,,En service,,,,,EDF-SEI,
384,Confidentiel,17W000000038482W,2B1470000,Lozzi,CC Pasquale Paoli,Haute-Corse,Corse,01/01/1970,01/01/1970,29/07/2022,,90 kV,Direct,Hydraulique,,,,,13000.0,,,,,,En service,,,,,EDF-SEI,
446,Confidentiel,17W000001334722T,2B2010000,Pancheraccia,CC de l'Oriente,Haute-Corse,Corse,01/01/1992,01/01/1992,29/07/2022,,HTA,Direct,Hydraulique,,,,,1280.0,,,,,,En service,,,,,EDF-SEI,
487,Confidentiel,17W0000000349419,2B2100000,Pero-Casevecchie,CC de la Costa Verde,Haute-Corse,Corse,15/03/1982,15/03/1982,29/07/2022,,HTA,Direct,Hydraulique,,,,,2000.0,,,,,,En service,,,,,EDF-SEI,
642,Confidentiel,17W000000037581Z,2B3420000,Ventiseri,CC de Fium'Orbu Castellu,Haute-Corse,Corse,01/01/1991,01/01/1991,29/07/2022,,90 kV,Direct,Hydraulique,,,,,43000.0,,,,,,En service,,,,,EDF-SEI,
733,CXTAGH-CENTRALE HYDRAULIQUE DE CHAUTAGNE-3,17W0000000129113,10100000,Anglefort,CC Usses et Rhône,Ain,Auvergne-Rhône-Alpes,01/01/1980,01/05/1990,13/08/2014,CXTAG,63 kV,DIRECT,Hydraulique,,,FIL DE L'EAU,,91600.0,,,,,4.0,En service,,,,,RTE,17.0
746,CENTRALE HYDROLELECTRIQUE D ARTEMARE,17W0000000609631,10220000,Artemare,CC Bugey Sud,Ain,Auvergne-Rhône-Alpes,13/10/2006,13/10/2006,25/09/2018,BRACH,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,4543.0,,,4540.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
747,Confidentiel,17W000000294586R,10220000,Artemare,CC Bugey Sud,Ain,Auvergne-Rhône-Alpes,01/04/1999,01/04/1999,05/07/2021,BRACH,BT,Direct,Hydraulique,,,FIL DE L'EAU,,60.0,,,60.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
772,Confidentiel,17W0000003953701,10330201,Valserhône,CC du Pays Bellegardien (CCPB),Ain,Auvergne-Rhône-Alpes,09/10/2012,09/10/2012,20/10/2022,ARLOD,HTA,Indirect,Hydraulique,,,FIL DE L'EAU,,1600.0,,,,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
779,BRENSH-CENTRALE HYDRAULIQUE DE BRENS-3,17W000000012855O,10340102,Belley,CC Bugey Sud,Ain,Auvergne-Rhône-Alpes,01/01/1982,01/05/1990,17/06/2014,BELLE,63 kV,DIRECT,Hydraulique,,,FIL DE L'EAU,,800.0,,,,,1.0,En service,,,,,RTE,6.3
815,B.CORH-CENTRALE HYDRAULIQUE DE BREGNIER-CORDON-3,17W0000000128109,10580000,Brégnier-Cordon,CC Bugey Sud,Ain,Auvergne-Rhône-Alpes,01/01/1984,29/04/2014,25/07/2019,B.COR,63 kV,DIRECT,Hydraulique,,,FIL DE L'EAU,,70400.0,,,,,4.0,En service,,,,,RTE,13.7
816,Glandieu2,17W000001360426Z,10580000,Brégnier-Cordon,CC Bugey Sud,Ain,Auvergne-Rhône-Alpes,11/01/2022,11/01/2022,25/02/2022,AOSTE,BT,Direct,Hydraulique,,,FIL DE L'EAU,,167.0,,,125.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
817,CENTRALE HYDROELECTRIQUE DE GLANDIEU,17W0000000595847,10580000,Brégnier-Cordon,CC Bugey Sud,Ain,Auvergne-Rhône-Alpes,09/10/2012,09/10/2012,29/12/2022,AOSTE,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,450.0,,,450.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
827,CENTRALE DE LA BURBANCHE,17W000001457331A,10660000,La Burbanche,CC Bugey Sud,Ain,Auvergne-Rhône-Alpes,09/10/2012,09/10/2012,01/11/2022,TENAY,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,365.0,,,200.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
838,Confidentiel,17W000001384070G,10760000,Chaley,CC de la Plaine de l'Ain,Ain,Auvergne-Rhône-Alpes,09/10/2012,09/10/2012,01/05/2022,TENAY,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,2100.0,,,,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
839,Confidentiel,17W0000013840691,10760000,Chaley,CC de la Plaine de l'Ain,Ain,Auvergne-Rhône-Alpes,09/10/2012,09/10/2012,01/05/2022,TENAY,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,380.0,,,380.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
869,Confidentiel,17W0000000469868,11040000,Chézery-Forens,CA du Pays de Gex,Ain,Auvergne-Rhône-Alpes,01/01/2006,01/01/2006,25/03/2022,ARLOD,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,1400.0,,,1400.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
887,BOLOZH-CENTRALE HYDRAULIQUE DE BOLOZON-3,17W000000012917S,11250000,Corveissiat,CA du Bassin de Bourg-en-Bresse,Ain,Auvergne-Rhône-Alpes,01/01/1932,,02/01/2015,BOLOZ,63 kV,DIRECT,Hydraulique,,,ECLUSEE,,22080.0,,,,,3.0,En service,,,,,RTE,16.6
902,Confidentiel,17W000000069983O,11380000,Culoz,CC Bugey Sud,Ain,Auvergne-Rhône-Alpes,16/11/2012,16/11/2012,01/05/2022,BRACH,BT,Direct,Hydraulique,,,FIL DE L'EAU,,96.0,,,96.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
912,Confidentiel,17W000000374602N,11430101,Divonne-les-Bains,CA du Pays de Gex,Ain,Auvergne-Rhône-Alpes,03/07/2014,03/07/2014,30/06/2021,GEX,BT,Direct,Hydraulique,,,FIL DE L'EAU,,55.0,,,55.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
921,CENTRALE DE DORTAN,17W000000047776E,11480000,Dortan,CA Haut - Bugey Agglomération,Ain,Auvergne-Rhône-Alpes,09/10/2012,09/10/2012,22/09/2021,CHANC,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,250.0,,,250.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
943,Confidentiel,17W000000040593K,11700000,Béard-Géovreissiat,CA Haut - Bugey Agglomération,Ain,Auvergne-Rhône-Alpes,04/12/2003,04/12/2003,01/08/2017,CLUS5,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,400.0,,,400.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
963,GENISH-CENTRALE HYDRAULIQUE DE GENISSIAT-6,17W000001713385A,11890000,Injoux-Génissiat,CC du Pays Bellegardien (CCPB),Ain,Auvergne-Rhône-Alpes,01/01/1949,01/05/1990,02/01/2021,GEN.P,225 kV,DIRECT,Hydraulique,,,LAC,,405000.0,,,,,6.0,En service,,,,,RTE,
965,EDF DPIH TRABLETTES,17W000000419093M,11920000,Izernore,CA Haut - Bugey Agglomération,Ain,Auvergne-Rhône-Alpes,01/01/1900,01/01/1900,01/01/2019,OYONN,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,3600.0,,,3600.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
982,Confidentiel,17W0000013135803,12040000,Le Poizat-Lalleyriat,CA Haut - Bugey Agglomération,Ain,Auvergne-Rhône-Alpes,01/07/2021,01/07/2021,17/12/2021,CLUS5,BT,Direct,Hydraulique,,,FIL DE L'EAU,,90.0,,,90.0,,,En service,0.0,0.0,0.0,0.0,Enedis,14.5
986,PCH DE LAVOURS,17W000000054338A,12080000,Lavours,CC Bugey Sud,Ain,Auvergne-Rhône-Alpes,21/07/2014,21/07/2014,27/10/2022,BELLE,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,4950.0,,,4950.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
1014,MOUX H-CENTRALE HYDRAULIQUE DE MOUX-3,17W000000012782P,12400000,Matafelon-Granges,CA Haut - Bugey Agglomération,Ain,Auvergne-Rhône-Alpes,01/01/1950,,02/01/2015,MOUX,63 kV,DIRECT,Hydraulique,,,ECLUSEE,,27000.0,,,,,2.0,En service,,,,,RTE,98.5
1067,CENTRALE DE NEUVILLE-SUR-AIN,17W000000052969M,12730000,Neuville-sur-Ain,CC Rives de l'Ain - Pays du Cerdon,Ain,Auvergne-Rhône-Alpes,09/10/2012,09/10/2012,05/12/2022,HAUT6,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,3059.0,,,2630.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
1102,ALLEMH-CENTRALE HYDRAULIQUE DE ALLEMENT-3,17W000000012947J,13030000,Poncin,CC Rives de l'Ain - Pays du Cerdon,Ain,Auvergne-Rhône-Alpes,01/01/1960,01/05/1990,18/07/2019,ALLEM,63 kV,DIRECT,Hydraulique,,,ECLUSEE,,32000.0,,,,,3.0,En service,,,,,RTE,19.5
1103,S.H.P.A CENTRALE DE L ILE,17W000000042611Y,13040000,Pont-d'Ain,CC Rives de l'Ain - Pays du Cerdon,Ain,Auvergne-Rhône-Alpes,12/11/1997,12/11/1997,05/12/2022,HAUT6,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,1800.0,,,1600.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
1105,CENTRALE HYDROELECTRIQUE D OUSSIAT,17W000000058444S,13040000,Pont-d'Ain,CC Rives de l'Ain - Pays du Cerdon,Ain,Auvergne-Rhône-Alpes,01/10/2012,01/10/2012,29/12/2022,HAUT6,HTA,Indirect,Hydraulique,,,FIL DE L'EAU,,1491.0,,,,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
1107,Confidentiel,17W000000064008P,13040000,Pont-d'Ain,CC Rives de l'Ain - Pays du Cerdon,Ain,Auvergne-Rhône-Alpes,09/10/2012,09/10/2012,05/12/2022,HAUT6,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,270.0,,,250.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
1132,CENTRALE DE GLANDIEU,17W000000061149M,13380000,Groslée-Saint-Benoit,CC Bugey Sud,Ain,Auvergne-Rhône-Alpes,09/10/2012,09/10/2012,05/12/2022,AOSTE,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,750.0,,,750.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
1156,CENTRALE HYDROELECTRIQUE DE LA SEMINE,17W000000432671V,13570000,Saint-Germain-de-Joux,CC du Pays Bellegardien (CCPB),Ain,Auvergne-Rhône-Alpes,09/10/2012,09/10/2012,14/11/2022,ARLOD,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,474.0,,,461.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
1157,Confidentiel,17W000000153842Y,13570000,Saint-Germain-de-Joux,CC du Pays Bellegardien (CCPB),Ain,Auvergne-Rhône-Alpes,09/10/2012,09/10/2012,14/11/2022,ARLOD,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,400.0,,,400.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
1190,SARL P.A.E.,17W000000425639I,13840000,Saint-Rambert-en-Bugey,CC de la Plaine de l'Ain,Ain,Auvergne-Rhône-Alpes,09/10/2012,09/10/2012,27/09/2021,AMBER,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,130.0,,,130.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
1211,COISEH-CENTRALE HYDRAULIQUE DE COISELET-3,17W000000012477U,13920000,Samognat,CA Haut - Bugey Agglomération,Ain,Auvergne-Rhône-Alpes,01/01/1971,01/05/1990,10/02/2021,COISE,63 kV,DIRECT,Hydraulique,,,ECLUSEE,,42000.0,,,,,2.0,En service,,,,,RTE,21.0
1228,Confidentiel,17W000000048731V,14160000,Tenay,CC de la Plaine de l'Ain,Ain,Auvergne-Rhône-Alpes,09/10/2012,09/10/2012,08/08/2022,TENAY,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,499.0,,,499.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
1230,Confidentiel,17W000000418361S,14160000,Tenay,CC de la Plaine de l'Ain,Ain,Auvergne-Rhône-Alpes,01/10/2012,01/10/2012,29/12/2022,TENAY,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,1400.0,,,,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
1233,CENTRALE DE DRACE,17W000000049639E,,Thoissey,CC Val de Saône Centre,Ain,Auvergne-Rhône-Alpes,09/10/2012,09/10/2012,01/10/2021,SSARD,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,3582.0,,,3300.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
1285,Confidentiel,17W000000050731S,14520000,Virieu-le-Grand,CC Bugey Sud,Ain,Auvergne-Rhône-Alpes,09/10/2012,09/10/2012,27/09/2021,BELLE,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,1250.0,,,400.0,,,En service,0.0,0.0,1.1,0.0,Enedis,108.0
1287,BRENSH-CENTRALE HYDRAULIQUE DE BRENS-6,17W0000000126157,14540000,Virignin,CC Bugey Sud,Ain,Auvergne-Rhône-Alpes,01/01/1982,,13/08/2014,BRENS,225 kV,DIRECT,Hydraulique,,,FIL DE L'EAU,,90000.0,,,,,2.0,En service,,,,,RTE,18.0
1291,Confidentiel,17W000000918192R,14570000,Vonnas,CC de la Veyle,Ain,Auvergne-Rhône-Alpes,01/04/2019,01/04/2019,07/07/2021,CRUET,BT,Direct,Hydraulique,,,FIL DE L'EAU,,100.0,,,100.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
1292,Confidentiel,17W0000001633544,14570000,Vonnas,CC de la Veyle,Ain,Auvergne-Rhône-Alpes,01/10/1998,01/10/1998,05/07/2021,CRUET,BT,Direct,Hydraulique,,,FIL DE L'EAU,,100.0,,,100.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
1311,Confidentiel,17W0000000506859,20270000,Assis-sur-Serre,CC du Pays de la Serre,Aisne,Hauts-de-France,09/10/2012,09/10/2012,22/06/2021,LAON,HTA,Direct,Hydraulique,,,HYDROLIEN FLUVIAL,,210.0,,,210.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
1356,Confidentiel,17W000000150235X,21060000,Bourg-et-Comin,CC du Chemin des Dames,Aisne,Hauts-de-France,02/09/2008,02/09/2008,24/11/2022,PINON,HTA,Direct,Hydraulique,,,HYDROLIEN FLUVIAL,,2520.0,,,1600.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
1401,Confidentiel,17W0000004305823,21880000,Chigny,CC Thiérache Sambre et Oise,Aisne,Hauts-de-France,08/04/2013,08/04/2013,22/06/2021,NOYAL,HTA,Direct,Hydraulique,,,HYDROLIEN FLUVIAL,,230.0,,,230.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
1405,Confidentiel,17W0000003972404,21940000,Cilly,CC du Pays de la Serre,Aisne,Hauts-de-France,01/02/1999,01/02/1999,10/06/2022,MARLE,BT,Direct,Hydraulique,,,HYDROLIEN FLUVIAL,,100.0,,,100.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
1406,confidentiel,17W000000920599V,21950000,Ciry-Salsogne,CC du Val de l'Aisne,Aisne,Hauts-de-France,04/04/2018,04/04/2018,28/07/2022,SOISS,BT,Direct,Hydraulique,,,FIL DE L'EAU,,110.0,,,110.0,,,En service,,,,,SICAE de l'Aisne,
1448,CENTRALE DE FLAVIGNY-LE-GRAND,17W000000045866N,23130000,Flavigny-le-Grand-et-Beaurain,CC Thiérache Sambre et Oise,Aisne,Hauts-de-France,31/10/2012,31/10/2012,21/04/2021,NOYAL,HTA,Direct,Hydraulique,,,HYDROLIEN FLUVIAL,,524.0,,,330.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
1454,Confidentiel,17W000000042338Q,23260000,Fontenoy,CC Retz-en-Valois,Aisne,Hauts-de-France,09/11/2012,09/11/2012,29/12/2021,S.DAM,HTA,Direct,Hydraulique,,,HYDROLIEN FLUVIAL,,150.0,,,150.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
1525,Confidentiel,17W0000000651565,24680000,Marle,CC du Pays de la Serre,Aisne,Hauts-de-France,25/06/2013,25/06/2013,23/05/2020,MARLE,BT,Direct,Hydraulique,,,FIL DE L'EAU,,129.0,,,120.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
1539,Confidentiel,17W0000001470645,24940000,Monceau-sur-Oise,CC Thiérache Sambre et Oise,Aisne,Hauts-de-France,15/04/2013,15/04/2013,17/06/2021,NOYAL,HTA,Direct,Hydraulique,,,HYDROLIEN FLUVIAL,,113.0,,,113.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
1627,Confidentiel,17W0000000621123,26890000,Saint-Pierremont,CC du Pays de la Serre,Aisne,Hauts-de-France,07/09/1997,07/09/1997,17/03/2022,MARLE,BT,Direct,Hydraulique,,,FIL DE L'EAU,,70.0,,,70.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
1655,Confidentiel,17W000001370634M,27370000,Tavaux-et-Pontséricourt,CC du Pays de la Serre,Aisne,Hauts-de-France,21/01/2022,21/01/2022,16/03/2022,LISLE,BT,Direct,Hydraulique,,,HYDROLIEN FLUVIAL,,95.0,,,95.0,,,En service,0.0,0.0,0.25,0.0,Enedis,2.75
1712,Confidentiel,17W000000122454T,28270000,Voyenne,CC du Pays de la Serre,Aisne,Hauts-de-France,22/04/2013,22/04/2013,22/09/2021,MARLE,BT,Direct,Hydraulique,,,FIL DE L'EAU,,200.0,,,200.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
1753,Confidentiel,17W0000000527724,30180000,Bayet,CC Saint-Pourçain Sioule Limagne,Allier,Auvergne-Rhône-Alpes,09/10/1997,09/10/1997,01/08/2017,BAYET,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,272.0,,,272.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
1756,Confidentiel,17W000000418999G,30180000,Bayet,CC Saint-Pourçain Sioule Limagne,Allier,Auvergne-Rhône-Alpes,09/10/1997,09/10/1997,22/03/2021,BAYET,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,240.0,,,200.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
1778,Confidentiel,17W000000047476Q,30210000,Bègues,CC Saint-Pourçain Sioule Limagne,Allier,Auvergne-Rhône-Alpes,03/03/2009,03/03/2009,01/04/2020,GANNA,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,981.0,,,800.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
1849,Confidentiel,17W000000058199F,30430000,Broût-Vernet,CC Saint-Pourçain Sioule Limagne,Allier,Auvergne-Rhône-Alpes,02/10/2015,02/10/2015,09/02/2022,BAYET,BT,Direct,Hydraulique,,,FIL DE L'EAU,,130.0,,,160.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
1938,EDF HYDRO CHATEL-MONTAGNE,17W000000041831P,30660000,Châtel-Montagne,CA Vichy Communauté,Allier,Auvergne-Rhône-Alpes,01/01/2006,01/01/2006,23/12/2022,VICHY,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,8800.0,,,8800.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
2172,Confidentiel,17W000001446142O,31330000,Jenzat,CC Saint-Pourçain Sioule Limagne,Allier,Auvergne-Rhône-Alpes,22/11/2012,22/11/2012,27/12/2022,GANNA,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,336.0,,,360.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
2173,Confidentiel,17W0000004225811,31330000,Jenzat,CC Saint-Pourçain Sioule Limagne,Allier,Auvergne-Rhône-Alpes,09/10/1997,09/10/1997,16/08/2020,GANNA,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,320.0,,,320.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
2174,Confidentiel,17W0000012335256,31330000,Jenzat,CC Saint-Pourçain Sioule Limagne,Allier,Auvergne-Rhône-Alpes,26/05/2021,26/05/2021,03/08/2022,GANNA,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,360.0,,,360.0,,,En service,0.0,0.0,1.5,0.0,Enedis,2.33
2304,TEIL2H-CENTRALE HYDRAULIQUE DE TEILLET (-ARGENTY)-3,17W000000012153J,31670000,Mazirat,CA Montluçon Communauté,Allier,Auvergne-Rhône-Alpes,01/01/1965,01/05/1990,01/02/2022,TEIL2,63 kV,DIRECT,Hydraulique,,,ECLUSEE,,16800.0,,,,,1.0,En service,,,,,RTE,44.26
2618,Confidentiel,17W000000148391M,32540102,Saint-Pourçain-sur-Sioule,CC Saint-Pourçain Sioule Limagne,Allier,Auvergne-Rhône-Alpes,09/10/1997,09/10/1997,01/04/2021,BAYET,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,548.0,,,548.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
2620,Confidentiel,17W000000040901Z,32540102,Saint-Pourçain-sur-Sioule,CC Saint-Pourçain Sioule Limagne,Allier,Auvergne-Rhône-Alpes,20/01/2013,20/01/2013,31/12/2020,BAYET,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,397.0,,,397.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
2621,Confidentiel,17W000001384031Q,32540102,Saint-Pourçain-sur-Sioule,CC Saint-Pourçain Sioule Limagne,Allier,Auvergne-Rhône-Alpes,10/10/2012,10/10/2012,01/05/2022,BAYET,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,336.0,,,336.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
