nominstallation,codeeicresourceobject,codeiris,commune,epci,departement,region,dateraccordement,datemiseenservice,datedebutversion,postesource,tensionraccordement,moderaccordement,combustible,combustiblessecondaires,technologie,typestockage,puismaxinstallee,puismaxraccharge,puismaxcharge,puismaxrac,puismaxinstalleedischarge,nbgroupes,regime,energiestockable,gestionnaire
Confidentiel,17W000000928685Z,222100000,Ploubazlanec,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,Côtes-d'Armor,Bretagne,07/06/2019,07/06/2019,07/06/2019,PAIMP,BT,Direct,,,HYDROLIENNE EN MER,,45.0,,,45.0,,,En service,0.0,Enedis
Confidentiel,17W000000155186W,222100000,Ploubazlanec,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,Côtes-d'Armor,Bretagne,01/09/2015,01/09/2015,01/07/2022,PAIMP,HTA,Direct,,,HYDROLIENNE EN MER,,2500.0,,,2500.0,,,En service,0.0,Enedis
Confidentiel,17W000000073377U,291550000,Ouessant,,Finistère,Bretagne,05/11/2015,05/11/2015,24/10/2022,2OUES,HTA,Direct,,,HYDROLIENNE EN MER,,500.0,,,250.0,,,En service,0.0,Enedis
RANCEH-CENTRALE HYDRAULIQUE DE RANCE-6,17W000000012305M,352410000,La Richardais,CC Côte d'Émeraude,Ille-et-Vilaine,Bretagne,01/10/2013,01/10/2013,12/04/2022,RANCE,225 kV,DIRECT,,,MAREMOTRICE,,240000.0,,240000.0,,,24.0,En service,,RTE
