nominstallation,codeeicresourceobject,codeiris,commune,epci,departement,region,dateraccordement,datemiseenservice,datedebutversion,postesource,tensionraccordement,moderaccordement,combustible,combustiblessecondaires,technologie,typestockage,puismaxinstallee,puismaxrac,nbgroupes,regime,gestionnaire
GRAV5N03 - GROUPE 03 DE LA CENTRALE NUCLEAIRE DE GRAVELINES,17W100P100P0132S,592730105,Gravelines,CU de Dunkerque,Nord,Hauts-de-France,01/12/1980,01/12/1980,01/01/2015,GRAV5,400 kV,DIRECT,URANIUM,,FISSION NUCLEAIRE,,910000.0,910000.0,1.0,En service,RTE
GRAV5N02 - GROUPE 02 DE LA CENTRALE NUCLEAIRE DE GRAVELINES,17W100P100P0131U,592730105,Gravelines,CU de Dunkerque,Nord,Hauts-de-France,01/08/1980,01/12/1980,01/01/2015,GRAV5,400 kV,DIRECT,URANIUM,,FISSION NUCLEAIRE,,910000.0,910000.0,1.0,En service,RTE
GRAV5N01 - GROUPE 01 DE LA CENTRALE NUCLEAIRE DE GRAVELINES,17W100P100P0130W,592730105,Gravelines,CU de Dunkerque,Nord,Hauts-de-France,01/03/1980,01/12/1980,01/01/2015,GRAV5,400 kV,DIRECT,URANIUM,,FISSION NUCLEAIRE,,910000.0,910000.0,1.0,En service,RTE
GRAV5N04 - GROUPE 04 DE LA CENTRALE NUCLEAIRE DE GRAVELINES,17W100P100P0133Q,592730105,Gravelines,CU de Dunkerque,Nord,Hauts-de-France,01/06/1981,01/10/1981,01/01/2015,GRAV5,400 kV,DIRECT,URANIUM,,FISSION NUCLEAIRE,,910000.0,910000.0,1.0,En service,RTE
PALUEN02 - GROUPE 02 DE LA CENTRALE NUCLEAIRE DE PALUEL,17W100P100P0140T,764930000,Paluel,CC de la Côte d'Albâtre,Seine-Maritime,Normandie,01/09/1984,01/12/1985,02/01/2014,PALUE,400 kV,DIRECT,URANIUM,,FISSION NUCLEAIRE,,1330000.0,1330000.0,1.0,En service,RTE
PALUEN01 - GROUPE 01 DE LA CENTRALE NUCLEAIRE DE PALUEL,17W100P100P0139E,764930000,Paluel,CC de la Côte d'Albâtre,Seine-Maritime,Normandie,01/06/1984,01/12/1985,02/01/2014,PALUE,400 kV,DIRECT,URANIUM,,FISSION NUCLEAIRE,,1330000.0,1330000.0,1.0,En service,RTE
PALUEN03 - GROUPE 03 DE LA CENTRALE NUCLEAIRE DE PALUEL,17W100P100P0141R,764930000,Paluel,CC de la Côte d'Albâtre,Seine-Maritime,Normandie,01/09/1985,01/02/1986,02/01/2014,PALUE,400 kV,DIRECT,URANIUM,,FISSION NUCLEAIRE,,1330000.0,1330000.0,1.0,En service,RTE
PALUEN04 - GROUPE 04 DE LA CENTRALE NUCLEAIRE DE PALUEL,17W100P100P0142P,764930000,Paluel,CC de la Côte d'Albâtre,Seine-Maritime,Normandie,01/04/1986,01/06/1986,02/01/2014,PALUE,400 kV,DIRECT,URANIUM,,FISSION NUCLEAIRE,,1330000.0,1330000.0,1.0,En service,RTE
PENLYN01 - GROUPE 01 DE LA CENTRALE NUCLEAIRE DE PENLY,17W100P100P0143N,766180000,Petit-Caux,CC Falaises du Talou,Seine-Maritime,Normandie,01/05/1990,01/12/1990,02/01/2014,PENLY,400 kV,DIRECT,URANIUM,,FISSION NUCLEAIRE,,1330000.0,1330000.0,1.0,En service,RTE
PENLYN02 - GROUPE 02 DE LA CENTRALE NUCLEAIRE DE PENLY,17W100P100P0144L,766180000,Petit-Caux,CC Falaises du Talou,Seine-Maritime,Normandie,01/02/1992,01/11/1992,02/01/2014,PENLY,400 kV,DIRECT,URANIUM,,FISSION NUCLEAIRE,,1330000.0,1330000.0,1.0,En service,RTE
GOLF5N02 - GROUPE 02 DE LA CENTRALE NUCLEAIRE DE GOLFECH,17W100P100P0129H,820720000,Golfech,CC des Deux Rives,Tarn-et-Garonne,Occitanie,01/06/1993,01/03/1994,01/01/2007,GOLF5,400 kV,DIRECT,URANIUM,,FISSION NUCLEAIRE,,1310000.0,1310000.0,1.0,En service,RTE
GOLF5N01 - GROUPE 01 DE LA CENTRALE NUCLEAIRE DE GOLFECH,17W100P100P0128J,820720000,Golfech,CC des Deux Rives,Tarn-et-Garonne,Occitanie,01/06/1990,01/02/1991,01/01/2007,GOLF5,400 kV,DIRECT,URANIUM,,FISSION NUCLEAIRE,,1310000.0,1310000.0,1.0,En service,RTE
CIVAUN01 - GROUPE 01 DE LA CENTRALE NUCLEAIRE DE CIVAUX,17W100P100P0113W,860770000,Civaux,CC Vienne et Gartempe,Vienne,Nouvelle-Aquitaine,01/11/1997,29/01/2002,01/01/2007,CIVAU,400 kV,DIRECT,URANIUM,,FISSION NUCLEAIRE,,1495000.0,1495000.0,1.0,En service,RTE
CIVAUN02 - GROUPE 02 DE LA CENTRALE NUCLEAIRE DE CIVAUX,17W100P100P0114U,860770000,Civaux,CC Vienne et Gartempe,Vienne,Nouvelle-Aquitaine,01/12/1999,23/04/2002,01/01/2007,CIVAU,400 kV,DIRECT,URANIUM,,FISSION NUCLEAIRE,,1495000.0,1495000.0,1.0,En service,RTE
